Tournament,Date,Series,Court,Surface,Round,Best of,Player_1,Player_2,Winner,Rank_1,Rank_2,Pts_1,Pts_2,Odd_1,Odd_2,score
Grand Prix Hassan II,2014-04-11,ATP250,Outdoor,Clay,Quarterfinals,3,Garcia-Lopez G.,Paire B.,Garcia-Lopez G.,53,33,866,1155,2.0,1.72,7-5 7-6   
Grand Prix Hassan II,2014-04-11,ATP250,Outdoor,Clay,Quarterfinals,3,Kuznetsov An.,Carballes Baena R.,Carballes Baena R.,142,273,399,168,1.83,1.83,4-6 2-6   
Grand Prix Hassan II,2014-04-12,ATP250,Outdoor,Clay,Semifinals,3,Granollers M.,Delbonis F.,Granollers M.,36,43,1110,1009,2.1,1.72,6-1 6-4   
Grand Prix Hassan II,2014-04-12,ATP250,Outdoor,Clay,Semifinals,3,Carballes Baena R.,Garcia-Lopez G.,Garcia-Lopez G.,273,53,168,866,3.5,1.3,2-6 7-6 4-6  
Grand Prix Hassan II,2014-04-13,ATP250,Outdoor,Clay,The Final,3,Garcia-Lopez G.,Granollers M.,Garcia-Lopez G.,53,36,866,1110,2.62,1.5,5-7 6-4 6-3  
U.S. Men's Clay Court Championships,2014-04-07,ATP250,Outdoor,Clay,1st Round,3,Williams R.,Brown D.,Brown D.,153,101,371,580,1.83,1.83,1-6 2-6   
U.S. Men's Clay Court Championships,2014-04-07,ATP250,Outdoor,Clay,1st Round,3,Sock J.,Karlovic I.,Sock J.,94,52,593,898,1.9,1.8,6-1 6-4   
U.S. Men's Clay Court Championships,2014-04-08,ATP250,Outdoor,Clay,1st Round,3,Bogomolov A.,Querrey S.,Querrey S.,85,82,625,640,3.4,1.3,4-6 6-7   
U.S. Men's Clay Court Championships,2014-04-08,ATP250,Outdoor,Clay,1st Round,3,Gonzalez A.,Baghdatis M.,Gonzalez A.,79,129,651,445,1.72,2.0,4-6 6-2 6-1  
U.S. Men's Clay Court Championships,2014-04-08,ATP250,Outdoor,Clay,1st Round,3,Gimeno-Traver D.,Russell M.,Russell M.,102,97,577,588,1.33,3.25,3-6 6-7   
U.S. Men's Clay Court Championships,2014-04-08,ATP250,Outdoor,Clay,1st Round,3,Young D.,Harrison R.,Young D.,91,115,606,524,2.5,1.5,6-0 6-1   
U.S. Men's Clay Court Championships,2014-04-08,ATP250,Outdoor,Clay,1st Round,3,Ramirez-Hidalgo R.,Becker B.,Becker B.,165,68,337,698,1.44,2.62,1-6 6-1 3-6  
U.S. Men's Clay Court Championships,2014-04-08,ATP250,Outdoor,Clay,1st Round,3,Hewitt L.,Polansky P.,Hewitt L.,46,135,1000,416,1.4,2.75,6-4 3-6 6-4  
U.S. Men's Clay Court Championships,2014-04-08,ATP250,Outdoor,Clay,1st Round,3,Kudla D.,Johnson S.,Johnson S.,108,69,549,688,2.37,1.53,3-6 6-7   
U.S. Men's Clay Court Championships,2014-04-09,ATP250,Outdoor,Clay,1st Round,3,Lopez F.,Ginepri R.,Lopez F.,31,329,1225,134,1.33,3.25,7-5 6-2   
U.S. Men's Clay Court Championships,2014-04-09,ATP250,Outdoor,Clay,1st Round,3,Ebden M.,Giraldo S.,Giraldo S.,63,84,720,633,4.33,1.2,1-6 2-6   
U.S. Men's Clay Court Championships,2014-04-09,ATP250,Outdoor,Clay,1st Round,3,Monaco J.,Devvarman S.,Monaco J.,42,88,1015,617,1.16,5.0,7-6 6-2   
U.S. Men's Clay Court Championships,2014-04-09,ATP250,Outdoor,Clay,2nd Round,3,Hewitt L.,Querrey S.,Querrey S.,46,82,1000,640,2.0,1.72,3-6 4-6   
U.S. Men's Clay Court Championships,2014-04-10,ATP250,Outdoor,Clay,2nd Round,3,Brown D.,Isner J.,Brown D.,101,9,580,2715,4.0,1.22,6-4 6-7 7-6  
U.S. Men's Clay Court Championships,2014-04-10,ATP250,Outdoor,Clay,2nd Round,3,Monaco J.,Young D.,Young D.,42,91,1015,606,1.28,3.5,7-6 4-6 3-6  
U.S. Men's Clay Court Championships,2014-04-10,ATP250,Outdoor,Clay,2nd Round,3,Verdasco F.,Johnson S.,Verdasco F.,29,69,1270,688,1.4,2.75,6-0 4-6 6-3  
U.S. Men's Clay Court Championships,2014-04-10,ATP250,Outdoor,Clay,2nd Round,3,Lopez F.,Gonzalez A.,Gonzalez A.,31,79,1225,651,1.44,2.62,3-6 0-2   
U.S. Men's Clay Court Championships,2014-04-10,ATP250,Outdoor,Clay,2nd Round,3,Sock J.,Becker B.,Sock J.,94,68,593,698,1.25,3.75,6-4 6-3   
U.S. Men's Clay Court Championships,2014-04-10,ATP250,Outdoor,Clay,2nd Round,3,Robredo T.,Giraldo S.,Giraldo S.,14,84,2140,633,1.3,3.4,3-6 4-6   
U.S. Men's Clay Court Championships,2014-04-11,ATP250,Outdoor,Clay,2nd Round,3,Almagro N.,Russell M.,Almagro N.,20,97,1750,588,1.08,8.0,6-2 6-3   
U.S. Men's Clay Court Championships,2014-04-11,ATP250,Outdoor,Clay,Quarterfinals,3,Young D.,Verdasco F.,Verdasco F.,91,29,606,1270,3.4,1.3,6-7 1-6   
U.S. Men's Clay Court Championships,2014-04-11,ATP250,Outdoor,Clay,Quarterfinals,3,Giraldo S.,Gonzalez A.,Giraldo S.,84,79,633,651,1.44,2.62,6-3 6-4   
U.S. Men's Clay Court Championships,2014-04-12,ATP250,Outdoor,Clay,Quarterfinals,3,Brown D.,Querrey S.,Querrey S.,101,82,580,640,2.37,1.53,3-6 7-6 3-6  
U.S. Men's Clay Court Championships,2014-04-12,ATP250,Outdoor,Clay,Quarterfinals,3,Almagro N.,Sock J.,Almagro N.,20,94,1750,593,1.2,4.33,6-2 6-4   
U.S. Men's Clay Court Championships,2014-04-12,ATP250,Outdoor,Clay,Semifinals,3,Giraldo S.,Verdasco F.,Verdasco F.,84,29,633,1270,2.62,1.5,4-6 5-7   
U.S. Men's Clay Court Championships,2014-04-12,ATP250,Outdoor,Clay,Semifinals,3,Almagro N.,Querrey S.,Almagro N.,20,82,1750,640,1.2,4.5,    
U.S. Men's Clay Court Championships,2014-04-13,ATP250,Outdoor,Clay,The Final,3,Almagro N.,Verdasco F.,Verdasco F.,20,29,1750,1270,1.5,2.62,3-6 6-7   
Monte Carlo Masters,2014-04-13,Masters 1000,Outdoor,Clay,1st Round,3,Dolgopolov O.,Gulbis E.,Dolgopolov O.,22,23,1690,1655,2.0,1.72,6-2 6-4   
Monte Carlo Masters,2014-04-13,Masters 1000,Outdoor,Clay,1st Round,3,Sijsling I.,Chardy J.,Chardy J.,55,48,831,970,3.75,1.25,6-1 2-6 6-7  
Monte Carlo Masters,2014-04-13,Masters 1000,Outdoor,Clay,1st Round,3,Tursunov D.,Haase R.,Tursunov D.,33,50,1200,947,2.5,1.5,6-1 5-7 6-3  
Monte Carlo Masters,2014-04-13,Masters 1000,Outdoor,Clay,1st Round,3,Thiem D.,Mahut N.,Mahut N.,84,40,635,1042,1.25,3.75,6-4 3-6 2-6  
Monte Carlo Masters,2014-04-14,Masters 1000,Outdoor,Clay,1st Round,3,Kohlschreiber P.,Bolelli S.,Kohlschreiber P.,25,329,1510,135,1.3,3.4,6-3 6-4   
Monte Carlo Masters,2014-04-14,Masters 1000,Outdoor,Clay,1st Round,3,Karlovic I.,Stepanek R.,Stepanek R.,53,41,892,1040,3.5,1.28,1-6 2-6   
Monte Carlo Masters,2014-04-14,Masters 1000,Outdoor,Clay,1st Round,3,Fognini F.,Sousa J.,Fognini F.,13,39,2400,1050,1.12,6.0,5-7 7-5 6-4  
Monte Carlo Masters,2014-04-14,Masters 1000,Outdoor,Clay,1st Round,3,Paire B.,Montanes A.,Montanes A.,34,57,1155,810,1.83,1.83,5-7 6-4 2-6  
Monte Carlo Masters,2014-04-14,Masters 1000,Outdoor,Clay,1st Round,3,Rosol L.,Donskoy E.,Rosol L.,47,108,971,556,1.61,2.2,7-5 6-1   
Monte Carlo Masters,2014-04-14,Masters 1000,Outdoor,Clay,1st Round,3,Nieminen J.,Ramos A.,Ramos A.,46,101,1000,569,1.83,1.83,2-6 5-7   
Monte Carlo Masters,2014-04-14,Masters 1000,Outdoor,Clay,1st Round,3,Andujar P.,Roger-Vasselin E.,Andujar P.,36,42,1116,1035,1.61,2.2,2-6 7-5 7-6  
Monte Carlo Masters,2014-04-14,Masters 1000,Outdoor,Clay,1st Round,3,Pospisil V.,Bautista R.,Bautista R.,29,45,1290,1000,6.0,1.12,2-6 2-6   
Monte Carlo Masters,2014-04-14,Masters 1000,Outdoor,Clay,1st Round,3,Robredo T.,Goffin D.,Robredo T.,18,105,1890,561,1.28,3.5,6-4 6-1   
Monte Carlo Masters,2014-04-15,Masters 1000,Outdoor,Clay,1st Round,3,Delbonis F.,Lu Y.H.,Lu Y.H.,44,52,1009,930,1.14,5.5,6-7 1-6   
Monte Carlo Masters,2014-04-15,Masters 1000,Outdoor,Clay,1st Round,3,Seppi A.,Youzhny M.,Seppi A.,35,15,1150,2090,1.72,2.0,6-3 7-6   
Monte Carlo Masters,2014-04-15,Masters 1000,Outdoor,Clay,1st Round,3,Simon G.,Gabashvili T.,Gabashvili T.,28,58,1315,779,1.44,2.62,6-4 4-6 4-6  
Monte Carlo Masters,2014-04-15,Masters 1000,Outdoor,Clay,1st Round,3,Llodra M.,Janowicz J.,Llodra M.,147,21,381,1715,2.25,1.57,6-4 6-2   
Monte Carlo Masters,2014-04-15,Masters 1000,Outdoor,Clay,1st Round,3,Melzer J.,Benneteau J.,Benneteau J.,60,51,735,935,4.33,1.2,4-6 6-3 4-6  
Monte Carlo Masters,2014-04-15,Masters 1000,Outdoor,Clay,1st Round,3,Carreno-Busta P.,Dodig I.,Carreno-Busta P.,62,37,730,1110,1.57,2.25,6-3 6-3   
Monte Carlo Masters,2014-04-15,Masters 1000,Outdoor,Clay,1st Round,3,Balleret B.,Garcia-Lopez G.,Garcia-Lopez G.,275,38,167,1071,6.0,1.12,5-7 2-6   
Monte Carlo Masters,2014-04-15,Masters 1000,Outdoor,Clay,1st Round,3,Dimitrov G.,Granollers M.,Dimitrov G.,14,32,2130,1215,1.3,3.4,6-2 4-6 6-2  
Monte Carlo Masters,2014-04-15,Masters 1000,Outdoor,Clay,1st Round,3,Matosevic M.,Cilic M.,Cilic M.,66,27,704,1330,6.5,1.11,1-6 6-3 2-6  
Monte Carlo Masters,2014-04-15,Masters 1000,Outdoor,Clay,1st Round,3,Monfils G.,Anderson K.,Monfils G.,24,19,1555,1835,1.4,2.75,6-4 7-6   
Monte Carlo Masters,2014-04-15,Masters 1000,Outdoor,Clay,1st Round,3,Mathieu P.H.,Almagro N.,Almagro N.,113,20,534,1750,3.4,1.3,3-6 2-6   
Monte Carlo Masters,2014-04-15,Masters 1000,Outdoor,Clay,2nd Round,3,Tsonga J.W.,Kohlschreiber P.,Tsonga J.W.,12,25,2550,1510,1.5,2.5,6-4 1-6 6-4  
Monte Carlo Masters,2014-04-15,Masters 1000,Outdoor,Clay,2nd Round,3,Montanes A.,Djokovic N.,Djokovic N.,57,2,810,11680,21.0,1.01,1-6 0-6   
Monte Carlo Masters,2014-04-15,Masters 1000,Outdoor,Clay,2nd Round,3,Ferrer D.,Chardy J.,Ferrer D.,6,48,4640,970,1.08,8.0,6-3 6-0   
Monte Carlo Masters,2014-04-15,Masters 1000,Outdoor,Clay,2nd Round,3,Tursunov D.,Berdych T.,Berdych T.,33,5,1200,4720,9.0,1.07,5-7 4-6   
Monte Carlo Masters,2014-04-16,Masters 1000,Outdoor,Clay,2nd Round,3,Fognini F.,Bautista R.,Fognini F.,13,45,2400,1000,1.38,2.87,7-6 6-4   
Monte Carlo Masters,2014-04-16,Masters 1000,Outdoor,Clay,2nd Round,3,Llodra M.,Rosol L.,Rosol L.,147,47,381,971,1.83,1.83,4-6 4-6   
Monte Carlo Masters,2014-04-16,Masters 1000,Outdoor,Clay,2nd Round,3,Raonic M.,Lu Y.H.,Raonic M.,10,52,2580,930,1.18,4.5,6-7 6-2 6-1  
Monte Carlo Masters,2014-04-16,Masters 1000,Outdoor,Clay,2nd Round,3,Andujar P.,Seppi A.,Seppi A.,36,35,1116,1150,2.0,1.72,6-7 7-5 4-6  
Monte Carlo Masters,2014-04-16,Masters 1000,Outdoor,Clay,2nd Round,3,Federer R.,Stepanek R.,Federer R.,4,41,5355,1040,1.08,8.0,6-1 6-2   
Monte Carlo Masters,2014-04-16,Masters 1000,Outdoor,Clay,2nd Round,3,Benneteau J.,Robredo T.,Robredo T.,51,18,935,1890,4.33,1.2,6-4 0-6 1-6  
Monte Carlo Masters,2014-04-16,Masters 1000,Outdoor,Clay,2nd Round,3,Nadal R.,Gabashvili T.,Nadal R.,1,58,13730,779,1.005,29.0,6-4 6-1   
Monte Carlo Masters,2014-04-16,Masters 1000,Outdoor,Clay,2nd Round,3,Ramos A.,Dimitrov G.,Dimitrov G.,101,14,569,2130,3.75,1.25,6-4 3-6 4-6  
Monte Carlo Masters,2014-04-16,Masters 1000,Outdoor,Clay,2nd Round,3,Almagro N.,Mahut N.,Almagro N.,20,40,1750,1042,1.1,7.0,7-6 6-3   
Monte Carlo Masters,2014-04-16,Masters 1000,Outdoor,Clay,2nd Round,3,Cilic M.,Wawrinka S.,Wawrinka S.,27,3,1330,5760,2.5,1.5,0-6 2-6   
Monte Carlo Masters,2014-04-16,Masters 1000,Outdoor,Clay,2nd Round,3,Garcia-Lopez G.,Dolgopolov O.,Garcia-Lopez G.,38,22,1071,1690,3.5,1.28,6-1 7-5   
Monte Carlo Masters,2014-04-16,Masters 1000,Outdoor,Clay,2nd Round,3,Monfils G.,Carreno-Busta P.,Carreno-Busta P.,24,62,1555,730,1.25,3.75,3-6 6-7   
Monte Carlo Masters,2014-04-17,Masters 1000,Outdoor,Clay,3rd Round,3,Raonic M.,Robredo T.,Raonic M.,10,18,2580,1890,2.0,1.72,6-4 6-3   
Monte Carlo Masters,2014-04-17,Masters 1000,Outdoor,Clay,3rd Round,3,Fognini F.,Tsonga J.W.,Tsonga J.W.,13,12,2400,2550,1.72,2.0,7-5 3-6 0-6  
Monte Carlo Masters,2014-04-17,Masters 1000,Outdoor,Clay,3rd Round,3,Nadal R.,Seppi A.,Nadal R.,1,35,13730,1150,1.01,26.0,6-1 6-3   
Monte Carlo Masters,2014-04-17,Masters 1000,Outdoor,Clay,3rd Round,3,Almagro N.,Wawrinka S.,Wawrinka S.,20,3,1750,5760,3.75,1.25,    
Monte Carlo Masters,2014-04-17,Masters 1000,Outdoor,Clay,3rd Round,3,Ferrer D.,Dimitrov G.,Ferrer D.,6,14,4640,2130,1.33,3.25,6-4 6-2   
Monte Carlo Masters,2014-04-17,Masters 1000,Outdoor,Clay,3rd Round,3,Rosol L.,Federer R.,Federer R.,47,4,971,5355,10.0,1.06,4-6 1-6   
Monte Carlo Masters,2014-04-17,Masters 1000,Outdoor,Clay,3rd Round,3,Garcia-Lopez G.,Berdych T.,Garcia-Lopez G.,38,5,1071,4720,4.33,1.2,4-6 6-3 6-1  
Monte Carlo Masters,2014-04-17,Masters 1000,Outdoor,Clay,3rd Round,3,Carreno-Busta P.,Djokovic N.,Djokovic N.,62,2,730,11680,26.0,1.01,0-6 1-6   
Monte Carlo Masters,2014-04-18,Masters 1000,Outdoor,Clay,Quarterfinals,3,Wawrinka S.,Raonic M.,Wawrinka S.,3,10,5760,2580,1.28,3.75,7-6 6-2   
Monte Carlo Masters,2014-04-18,Masters 1000,Outdoor,Clay,Quarterfinals,3,Nadal R.,Ferrer D.,Ferrer D.,1,6,13730,4640,1.08,8.0,6-7 4-6   
Monte Carlo Masters,2014-04-18,Masters 1000,Outdoor,Clay,Quarterfinals,3,Federer R.,Tsonga J.W.,Federer R.,4,12,5355,2550,1.25,4.0,2-6 7-6 6-1  
Monte Carlo Masters,2014-04-18,Masters 1000,Outdoor,Clay,Quarterfinals,3,Garcia-Lopez G.,Djokovic N.,Djokovic N.,38,2,1071,11680,21.0,1.01,6-4 3-6 1-6  
Monte Carlo Masters,2014-04-19,Masters 1000,Outdoor,Clay,Semifinals,3,Wawrinka S.,Ferrer D.,Wawrinka S.,3,6,5760,4640,2.1,1.72,6-1 7-6   
Monte Carlo Masters,2014-04-19,Masters 1000,Outdoor,Clay,Semifinals,3,Djokovic N.,Federer R.,Federer R.,2,4,11680,5355,1.28,3.75,5-7 2-6   
Monte Carlo Masters,2014-04-20,Masters 1000,Outdoor,Clay,The Final,3,Wawrinka S.,Federer R.,Wawrinka S.,3,4,5760,5355,2.3,1.61,4-6 7-6 6-2  
Open Banco Sabadell,2014-04-21,ATP500,Outdoor,Clay,1st Round,3,Przysiezny M.,Gabashvili T.,Gabashvili T.,77,55,637,833,4.0,1.22,3-6 4-6   
Open Banco Sabadell,2014-04-21,ATP500,Outdoor,Clay,1st Round,3,Giraldo S.,Sijsling I.,Giraldo S.,65,56,703,831,1.28,3.5,6-4 6-2   
Open Banco Sabadell,2014-04-21,ATP500,Outdoor,Clay,1st Round,3,Carballes Baena R.,Gimeno-Traver D.,Gimeno-Traver D.,187,104,270,567,2.0,1.72,3-6 5-7   
Open Banco Sabadell,2014-04-21,ATP500,Outdoor,Clay,1st Round,3,Cervantes I.,Nedovyesov A.,Cervantes I.,824,72,20,659,2.75,1.4,3-6 6-2 6-4  
Open Banco Sabadell,2014-04-21,ATP500,Outdoor,Clay,1st Round,3,Viola M.,Golubev A.,Golubev A.,190,60,268,776,2.62,1.44,4-6 3-6   
Open Banco Sabadell,2014-04-21,ATP500,Outdoor,Clay,1st Round,3,Kuznetsov An.,Carreno-Busta P.,Kuznetsov An.,131,58,444,816,3.4,1.3,2-6 6-1 6-2  
Open Banco Sabadell,2014-04-21,ATP500,Outdoor,Clay,1st Round,3,Beck A.,Roger-Vasselin E.,Roger-Vasselin E.,49,46,1146,985,2.62,1.44,2-6 2-6   
Open Banco Sabadell,2014-04-21,ATP500,Outdoor,Clay,1st Round,3,Thiem D.,Stepanek R.,Thiem D.,80,41,632,1040,2.1,1.66,6-4 6-4   
Open Banco Sabadell,2014-04-21,ATP500,Outdoor,Clay,1st Round,3,Kubot L.,Bautista R.,Bautista R.,75,45,646,1000,5.5,1.14,1-6 0-6   
Open Banco Sabadell,2014-04-21,ATP500,Outdoor,Clay,1st Round,3,De Schepper K.,Ilhan M.,De Schepper K.,63,154,719,356,1.83,1.83,6-3 7-5   
Open Banco Sabadell,2014-04-21,ATP500,Outdoor,Clay,1st Round,3,Sousa J.,Matosevic M.,Matosevic M.,40,70,1050,685,1.25,3.75,3-6 2-6   
Open Banco Sabadell,2014-04-21,ATP500,Outdoor,Clay,1st Round,3,Montanes A.,Lopez M.,Montanes A.,59,1014,810,10,1.28,3.5,7-6 6-2   
Open Banco Sabadell,2014-04-22,ATP500,Outdoor,Clay,1st Round,3,Arguello F.,Dodig I.,Dodig I.,107,37,559,1110,2.25,1.57,3-6 7-6 2-6  
Open Banco Sabadell,2014-04-22,ATP500,Outdoor,Clay,1st Round,3,Melzer J.,Kukushkin M.,Melzer J.,73,57,655,825,1.83,1.83,7-6 3-6 6-3  
Open Banco Sabadell,2014-04-22,ATP500,Outdoor,Clay,1st Round,3,Devvarman S.,Klizan M.,Klizan M.,100,108,582,558,4.5,1.18,2-6 4-6   
Open Banco Sabadell,2014-04-22,ATP500,Outdoor,Clay,1st Round,3,Ramos A.,Davydenko N.,Ramos A.,103,82,569,630,1.36,3.0,6-4 6-4   
Open Banco Sabadell,2014-04-22,ATP500,Outdoor,Clay,2nd Round,3,Gimeno-Traver D.,Gulbis E.,Gulbis E.,104,23,567,1655,2.37,1.53,5-7 6-7   
Open Banco Sabadell,2014-04-22,ATP500,Outdoor,Clay,2nd Round,3,Nishikori K.,Bautista R.,Nishikori K.,17,45,1985,1000,1.83,1.83,6-1 4-6 6-3  
Open Banco Sabadell,2014-04-22,ATP500,Outdoor,Clay,2nd Round,3,Paire B.,Golubev A.,Golubev A.,36,60,1155,776,1.57,2.25,4-6 1-5   
Open Banco Sabadell,2014-04-22,ATP500,Outdoor,Clay,2nd Round,3,Kohlschreiber P.,Roger-Vasselin E.,Kohlschreiber P.,26,46,1465,985,1.4,2.75,7-6 6-2   
Open Banco Sabadell,2014-04-22,ATP500,Outdoor,Clay,2nd Round,3,Matosevic M.,Robredo T.,Robredo T.,70,18,685,1980,6.0,1.12,3-6 4-6   
Open Banco Sabadell,2014-04-22,ATP500,Outdoor,Clay,2nd Round,3,Cervantes I.,Tursunov D.,Cervantes I.,824,34,20,1200,3.5,1.28,5-7 6-0 6-3  
Open Banco Sabadell,2014-04-22,ATP500,Outdoor,Clay,2nd Round,3,Granollers M.,Thiem D.,Thiem D.,31,80,1215,632,1.72,2.0,6-3 3-6 2-6  
Open Banco Sabadell,2014-04-23,ATP500,Outdoor,Clay,2nd Round,3,Montanes A.,Dolgopolov O.,Montanes A.,59,22,810,1690,3.0,1.36,7-6 6-3   
Open Banco Sabadell,2014-04-23,ATP500,Outdoor,Clay,2nd Round,3,Klizan M.,Almagro N.,Almagro N.,108,20,558,1750,4.0,1.22,5-7 6-7   
Open Banco Sabadell,2014-04-23,ATP500,Outdoor,Clay,2nd Round,3,Dodig I.,Lopez F.,Dodig I.,37,30,1110,1225,2.2,1.61,6-1 6-4   
Open Banco Sabadell,2014-04-23,ATP500,Outdoor,Clay,2nd Round,3,Ferrer D.,Gabashvili T.,Gabashvili T.,5,55,4910,833,1.04,13.0,4-6 2-6   
Open Banco Sabadell,2014-04-23,ATP500,Outdoor,Clay,2nd Round,3,Giraldo S.,Fognini F.,Giraldo S.,65,13,703,2190,3.75,1.25,6-0 4-0   
Open Banco Sabadell,2014-04-23,ATP500,Outdoor,Clay,2nd Round,3,Ramos A.,Nadal R.,Nadal R.,103,1,569,13310,19.0,1.02,6-7 4-6   
Open Banco Sabadell,2014-04-23,ATP500,Outdoor,Clay,2nd Round,3,Melzer J.,Janowicz J.,Melzer J.,73,21,655,1715,1.72,2.0,6-4 7-6   
Open Banco Sabadell,2014-04-23,ATP500,Outdoor,Clay,2nd Round,3,De Schepper K.,Verdasco F.,Verdasco F.,63,25,719,1500,6.5,1.11,4-6 3-6   
Open Banco Sabadell,2014-04-23,ATP500,Outdoor,Clay,2nd Round,3,Cilic M.,Kuznetsov An.,Cilic M.,27,131,1330,444,1.3,3.4,6-1 7-6   
Open Banco Sabadell,2014-04-24,ATP500,Outdoor,Clay,3rd Round,3,Cervantes I.,Gabashvili T.,Gabashvili T.,824,55,20,833,3.4,1.3,4-6 2-6   
Open Banco Sabadell,2014-04-24,ATP500,Outdoor,Clay,3rd Round,3,Nishikori K.,Golubev A.,Nishikori K.,17,60,1985,776,1.16,5.0,6-0 6-4   
Open Banco Sabadell,2014-04-24,ATP500,Outdoor,Clay,3rd Round,3,Montanes A.,Gulbis E.,Gulbis E.,59,23,810,1655,2.75,1.4,5-7 1-6   
Open Banco Sabadell,2014-04-24,ATP500,Outdoor,Clay,3rd Round,3,Almagro N.,Verdasco F.,Almagro N.,20,25,1750,1500,1.8,1.9,6-3 6-3   
Open Banco Sabadell,2014-04-24,ATP500,Outdoor,Clay,3rd Round,3,Melzer J.,Kohlschreiber P.,Kohlschreiber P.,73,26,655,1465,3.75,1.25,5-7 3-6   
Open Banco Sabadell,2014-04-24,ATP500,Outdoor,Clay,3rd Round,3,Cilic M.,Robredo T.,Cilic M.,27,18,1330,1980,2.2,1.61,7-5 6-7 7-6  
Open Banco Sabadell,2014-04-24,ATP500,Outdoor,Clay,3rd Round,3,Thiem D.,Giraldo S.,Giraldo S.,80,65,632,703,2.0,1.72,6-4 4-6 5-7  
Open Banco Sabadell,2014-04-24,ATP500,Outdoor,Clay,3rd Round,3,Nadal R.,Dodig I.,Nadal R.,1,37,13310,1110,1.03,15.0,6-3 6-3   
Open Banco Sabadell,2014-04-25,ATP500,Outdoor,Clay,Quarterfinals,3,Gabashvili T.,Gulbis E.,Gulbis E.,55,23,833,1655,3.4,1.3,1-6 4-6   
Open Banco Sabadell,2014-04-25,ATP500,Outdoor,Clay,Quarterfinals,3,Nishikori K.,Cilic M.,Nishikori K.,17,27,1985,1330,1.5,2.5,6-1 6-3   
Open Banco Sabadell,2014-04-25,ATP500,Outdoor,Clay,Quarterfinals,3,Nadal R.,Almagro N.,Almagro N.,1,20,13310,1750,1.1,7.0,6-2 6-7 4-6  
Open Banco Sabadell,2014-04-25,ATP500,Outdoor,Clay,Quarterfinals,3,Giraldo S.,Kohlschreiber P.,Giraldo S.,65,26,703,1465,2.75,1.4,6-4 4-3   
Open Banco Sabadell,2014-04-26,ATP500,Outdoor,Clay,Semifinals,3,Gulbis E.,Nishikori K.,Nishikori K.,23,17,1655,1985,2.3,1.61,2-6 4-6   
Open Banco Sabadell,2014-04-26,ATP500,Outdoor,Clay,Semifinals,3,Giraldo S.,Almagro N.,Giraldo S.,65,20,703,1750,4.5,1.2,7-5 6-3   
Open Banco Sabadell,2014-04-27,ATP500,Outdoor,Clay,The Final,3,Giraldo S.,Nishikori K.,Nishikori K.,65,17,703,1985,4.33,1.22,2-6 2-6   
BRD Nastase Tiriac Trophy,2014-04-21,ATP250,Outdoor,Clay,1st Round,3,Vesely J.,Chardy J.,Vesely J.,79,48,635,970,2.1,1.66,7-6 6-0   
BRD Nastase Tiriac Trophy,2014-04-21,ATP250,Outdoor,Clay,1st Round,3,Ciorcila P.,Stakhovsky S.,Stakhovsky S.,589,92,52,605,5.0,1.16,6-2 2-6 1-6  
BRD Nastase Tiriac Trophy,2014-04-21,ATP250,Outdoor,Clay,1st Round,3,Nieminen J.,Mayer L.,Nieminen J.,54,86,840,619,1.57,2.25,6-3 3-6 7-6  
BRD Nastase Tiriac Trophy,2014-04-22,ATP250,Outdoor,Clay,1st Round,3,Volandri F.,Rosol L.,Rosol L.,83,43,627,1016,3.75,1.25,1-6 6-7   
BRD Nastase Tiriac Trophy,2014-04-22,ATP250,Outdoor,Clay,1st Round,3,Istomin D.,Bellucci T.,Istomin D.,53,109,845,557,2.75,1.4,7-6 7-6   
BRD Nastase Tiriac Trophy,2014-04-22,ATP250,Outdoor,Clay,1st Round,3,Seppi A.,Berlocq C.,Berlocq C.,35,61,1165,735,2.0,1.72,0-6 6-2 6-7  
BRD Nastase Tiriac Trophy,2014-04-22,ATP250,Outdoor,Clay,1st Round,3,Haase R.,Ebden M.,Haase R.,50,62,947,720,1.14,5.5,6-4 6-3   
BRD Nastase Tiriac Trophy,2014-04-22,ATP250,Outdoor,Clay,1st Round,3,Basilashvili N.,Berankis R.,Berankis R.,310,157,145,347,3.4,1.3,7-6 3-6 4-6  
BRD Nastase Tiriac Trophy,2014-04-22,ATP250,Outdoor,Clay,1st Round,3,Hanescu V.,Sela D.,Hanescu V.,84,81,626,631,1.16,5.0,6-3 6-4   
BRD Nastase Tiriac Trophy,2014-04-22,ATP250,Outdoor,Clay,1st Round,3,Mahut N.,Mathieu P.H.,Mathieu P.H.,39,102,1077,569,3.4,1.3,3-6 1-6   
BRD Nastase Tiriac Trophy,2014-04-22,ATP250,Outdoor,Clay,1st Round,3,Copil M.,Mannarino A.,Copil M.,167,90,326,606,1.9,1.8,6-1 6-4   
BRD Nastase Tiriac Trophy,2014-04-22,ATP250,Outdoor,Clay,1st Round,3,Pospisil V.,Ungur A.,Ungur A.,29,118,1290,517,2.75,1.4,7-5 2-6 1-6  
BRD Nastase Tiriac Trophy,2014-04-23,ATP250,Outdoor,Clay,2nd Round,3,Rosol L.,Nieminen J.,Rosol L.,43,54,1016,840,1.53,2.37,6-2 6-4   
BRD Nastase Tiriac Trophy,2014-04-23,ATP250,Outdoor,Clay,2nd Round,3,Hanescu V.,Simon G.,Simon G.,84,28,626,1315,1.9,1.8,6-2 3-6 3-6  
